id,full_name,html_url,stargazers_count,created_at,updated_at,primary_language,releases
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,151720,2018-05-07T13:27:00Z,2025-09-14T20:41:02Z,Java,0
R_kgDOIXtSqw,krahets/hello-algo,https://github.com/krahets/hello-algo,116625,2022-11-04T11:08:34Z,2025-09-14T20:55:18Z,Java,9
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,102156,2019-09-05T03:01:56Z,2025-09-14T19:23:58Z,Java,0
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,92662,2014-08-09T16:45:18Z,2025-09-14T20:20:31Z,Java,0
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,macrozheng/mall,https://github.com/macrozheng/mall,81564,2018-04-04T01:11:44Z,2025-09-14T17:18:51Z,Java,3
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,78376,2012-10-19T15:02:57Z,2025-09-14T22:16:42Z,Java,320
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,doocs/advanced-java,https://github.com/doocs/advanced-java,78231,2018-10-06T11:38:30Z,2025-09-14T14:27:04Z,Java,1
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76444,2018-12-06T08:01:22Z,2025-09-13T21:31:24Z,Java,0
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elastic/elasticsearch,https://github.com/elastic/elasticsearch,73778,2010-02-08T13:20:56Z,2025-09-14T18:25:14Z,Java,206
R_kgDOI2oX4A,Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,67219,2023-01-27T18:22:42Z,2025-09-14T22:59:02Z,Java,138
MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==,kdn251/interviews,https://github.com/kdn251/interviews,64462,2017-02-14T18:19:25Z,2025-09-14T18:52:32Z,Java,0
MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,63353,2016-07-16T10:21:02Z,2025-09-14T21:00:36Z,Java,0
MDEwOlJlcG9zaXRvcnkxNzMyMjg0MzY=,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,60443,2019-03-01T03:27:48Z,2025-09-14T22:53:15Z,Java,46
MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,58834,2010-12-08T04:04:45Z,2025-09-14T20:03:56Z,Java,343
MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,google/guava,https://github.com/google/guava,51101,2014-05-29T16:23:17Z,2025-09-14T14:06:05Z,Java,56
MDEwOlJlcG9zaXRvcnk3NTA4NDEx,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48325,2013-01-08T20:11:48Z,2025-09-14T22:21:37Z,Java,241
MDEwOlJlcG9zaXRvcnk4ODU5NDc0,skylot/jadx,https://github.com/skylot/jadx,45471,2013-03-18T17:08:21Z,2025-09-14T23:08:16Z,Java,32
MDEwOlJlcG9zaXRvcnk0NDY2MjY2OQ==,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,45374,2015-10-21T08:26:28Z,2025-09-14T19:52:30Z,Java,231
MDEwOlJlcG9zaXRvcnk0NDgwNDIxNg==,termux/termux-app,https://github.com/termux/termux-app,45040,2015-10-23T09:42:46Z,2025-09-14T22:03:00Z,Java,95
