nome_repositorio,estrelas,linguagem_primaria,idade_dias,dias_desde_ultimo_push,total_pull_requests_aceitas,total_releases,total_issues,issues_fechadas,razao_issues_fechadas
freeCodeCamp/freeCodeCamp,425623,TypeScript,3884,0,25677,0,19796,19605,0.9904
codecrafters-io/build-your-own-x,409462,Markdown,2652,14,142,0,814,594,0.7297
sindresorhus/awesome,391075,N/A,4050,25,679,0,354,340,0.9605
EbookFoundation/free-programming-books,364919,Python,4323,3,6818,0,1181,1150,0.9738
public-apis/public-apis,360916,Python,3431,84,1872,0,705,703,0.9972
kamranahmedse/developer-roadmap,333651,TypeScript,3072,0,3668,1,2938,2690,0.9156
jwasham/coding-interview-university,324178,N/A,3354,249,415,0,516,453,0.8779
donnemartin/system-design-primer,315626,Python,3089,83,200,0,339,91,0.2684
996icu/996.ICU,273996,N/A,2331,313,1067,0,0,0,0.0000
vinta/awesome-python,254698,Python,4064,26,544,0,0,0,0.0000
awesome-selfhosted/awesome-selfhosted,241513,N/A,3725,0,2394,1,806,806,1.0000
practical-tutorials/project-based-learning,239100,N/A,3044,362,182,0,208,79,0.3798
facebook/react,238059,JavaScript,4463,0,12081,105,13981,13180,0.9427
vuejs/vue,209251,TypeScript,4397,306,1133,249,10028,9673,0.9646
TheAlgorithms/Python,203976,Python,3314,0,2975,0,1585,1511,0.9533
torvalds/linux,199537,C,5090,0,10,0,0,0,0.0000
trekhleb/javascript-algorithms,192982,JavaScript,2698,181,302,0,366,229,0.6257
tensorflow/tensorflow,191154,C++,3566,0,35658,217,40714,39825,0.9782
ossu/computer-science,190256,HTML,4118,26,298,0,651,637,0.9785
getify/You-Dont-Know-JS,182928,N/A,4287,84,368,0,944,863,0.9142
trimstray/the-book-of-secret-knowledge,181989,N/A,2607,266,122,0,0,0,0.0000
CyC2018/CS-Notes,181407,N/A,2737,356,374,0,571,448,0.7846
ohmyzsh/ohmyzsh,180631,Shell,5828,0,3370,0,4958,4819,0.9720
Significant-Gravitas/AutoGPT,177720,Python,880,0,3154,66,3371,3214,0.9534
microsoft/vscode,175673,TypeScript,3631,0,35955,175,204276,192287,0.9413
twbs/bootstrap,172827,MDX,5128,0,8967,93,22749,22342,0.9821
flutter/flutter,171817,Dart,3811,0,43652,7,108555,96660,0.8904
jackfrued/Python-100-Days,170720,Jupyter Notebook,2721,137,13,0,690,118,0.1710
github/gitignore,168605,N/A,5391,4,1713,0,0,0,0.0000
jlevy/the-art-of-command-line,157764,N/A,3737,413,317,0,258,136,0.5271
AUTOMATIC1111/stable-diffusion-webui,155500,Python,1086,101,1874,27,7826,5464,0.6982
Snailclimb/JavaGuide,151220,Java,2654,5,1179,0,1103,1031,0.9347
ollama/ollama,150026,Go,778,0,2439,141,7898,6172,0.7815
avelino/awesome-go,149735,Go,4055,5,3454,0,685,679,0.9912
huggingface/transformers,148238,Python,2479,0,16514,220,17755,16671,0.9389
airbnb/javascript,147263,JavaScript,4666,246,810,0,1363,1266,0.9288
massgravel/Microsoft-Activation-Scripts,144330,Batchfile,2038,2,6,24,715,715,1.0000
ytdl-org/youtube-dl,136832,Python,5399,100,1642,341,26765,23122,0.8639
vercel/next.js,133748,JavaScript,3232,0,23511,1000,23323,20997,0.9003
f/awesome-chatgpt-prompts,132427,JavaScript,981,10,171,0,0,0,0.0000
golang/go,129360,Go,4011,0,1,0,67828,58662,0.8649
n8n-io/n8n,129081,TypeScript,2243,0,10494,376,4967,4390,0.8838
