nome_repositorio,estrelas,linguagem_primaria,idade_dias,dias_desde_ultimo_push,total_pull_requests_aceitas,total_releases,razao_issues_fechadas
freeCodeCamp/freeCodeCamp,425757,TypeScript,3886,0,25694,0,0.9901559897016508
codecrafters-io/build-your-own-x,410213,Markdown,2654,16,142,0,0.7291666666666666
sindresorhus/awesome,391722,N/A,4052,27,679,0,0.96045197740113
EbookFoundation/free-programming-books,365061,Python,4325,5,6818,0,0.9737510584250635
public-apis/public-apis,361301,Python,3434,86,1872,0,0.9887482419127989
kamranahmedse/developer-roadmap,333800,TypeScript,3074,0,3671,1,0.9165815457950289
jwasham/coding-interview-university,324268,N/A,3356,252,415,0,0.877906976744186
donnemartin/system-design-primer,315987,Python,3091,85,200,0,0.26843657817109146
996icu/996.ICU,274029,N/A,2333,315,1067,0,0
vinta/awesome-python,255024,Python,4066,28,544,0,0
awesome-selfhosted/awesome-selfhosted,241860,N/A,3727,0,2394,1,1.0
practical-tutorials/project-based-learning,239617,N/A,3046,364,182,0,0.37799043062200954
facebook/react,238121,JavaScript,4465,0,12090,105,0.9426487414187643
vuejs/vue,209265,TypeScript,4399,308,1133,249,0.9645991224571201
TheAlgorithms/Python,204037,Python,3316,2,2975,0,0.9533123028391167
torvalds/linux,199738,C,5093,0,10,0,0
trekhleb/javascript-algorithms,193004,JavaScript,2700,183,302,0,0.6256830601092896
tensorflow/tensorflow,191178,C++,3569,0,35794,219,0.9781919988211891
ossu/computer-science,190365,HTML,4121,28,298,0,0.9785276073619632
getify/You-Dont-Know-JS,182952,N/A,4289,86,368,0,0.9141949152542372
trimstray/the-book-of-secret-knowledge,182278,N/A,2609,268,122,0,0
CyC2018/CS-Notes,181439,N/A,2739,358,374,0,0.7845884413309983
ohmyzsh/ohmyzsh,180683,Shell,5830,1,3371,0,0.9711925866236906
Significant-Gravitas/AutoGPT,177780,Python,882,0,3166,67,0.9537503705899792
microsoft/vscode,175749,TypeScript,3633,0,36021,176,0.9410347153652886
twbs/bootstrap,172838,MDX,5130,2,8967,93,0.9821530616730406
flutter/flutter,171847,Dart,3814,0,43716,7,0.8906370834100534
jackfrued/Python-100-Days,170825,Jupyter Notebook,2723,139,13,0,0.17101449275362318
github/gitignore,168652,N/A,5393,6,1713,0,0
jlevy/the-art-of-command-line,157781,N/A,3739,415,317,0,0.5271317829457365
AUTOMATIC1111/stable-diffusion-webui,155561,Python,1088,103,1874,27,0.6981855353948377
Snailclimb/JavaGuide,151262,Java,2656,1,1179,0,0.9338768115942029
ollama/ollama,150192,Go,780,0,2450,141,0.7812144931195556
avelino/awesome-go,149906,Go,4057,1,3455,0,0.9912536443148688
huggingface/transformers,148322,Python,2481,0,16559,222,0.9387100405222872
airbnb/javascript,147272,JavaScript,4669,248,810,0,0.9296187683284457
massgravel/Microsoft-Activation-Scripts,144692,Batchfile,2041,4,6,24,1.0
ytdl-org/youtube-dl,136851,Python,5401,102,1642,341,0.8638894078087054
